10   0,0662804899041015   76
20   0,0116308854922768   96
30   0,00570494037852383   96
40   0,00394072442450611   96
50   0,00295735150160002   100
60   0,00222347585864499   100
70   0,00170974046221313   100
80   0,0013611100347763   100
90   0,00109766723160162   100
100   0,000866006372674722   100
200   0,000380317557932222   100
300   0,000195023140027692   100
400   0,000128183248113862   96
500   8,90382380796087E-05   93
600   6,70818188536345E-05   93
700   5,38307161131121E-05   93
800   4,56435932588738E-05   93
900   4,58128964061995E-05   93
1000   3,20713999493532E-05   90
